Serial_Number,Roll_Number,Question,Student_Answer,Correct_Answer,Result,Points
1,ST2776,Q1,A,A,Correct,1
2,ST2776,Q2,C,C,Correct,1
3,ST2776,Q3,B,C,Wrong,0
4,ST2776,Q4,D,C,Wrong,0
5,ST2776,Q5,B,C,Wrong,0
6,ST2776,Q6,A,A,Correct,1
7,ST2776,Q7,A,C,Wrong,0
8,ST2776,Q8,C,C,Correct,1
9,ST2776,Q9,A,B,Wrong,0
10,ST2776,Q10,C,C,Correct,1
11,ST2776,Q11,C,A,Wrong,0
12,ST2776,Q12,A,A,Correct,1
13,ST2776,Q13,D,D,Correct,1
14,ST2776,Q14,A,A,Correct,1
15,ST2776,Q15,A,B,Wrong,0
16,ST2776,Q16,B,A,Wrong,0
17,ST2776,Q17,C,C,Correct,1
18,ST2776,Q18,D,D,Correct,1
19,ST2776,Q19,D,A,Wrong,0
20,ST2776,Q20,B,B,Correct,1
21,ST2776,Q21,A,A,Correct,1
22,ST2776,Q22,D,D,Correct,1
23,ST2776,Q23,B,B,Correct,1
24,ST2776,Q24,B,A,Wrong,0
25,ST2776,Q25,C,C,Correct,1
26,ST2776,Q26,A,B,Wrong,0
27,ST2776,Q27,A,A,Correct,1
28,ST2776,Q28,B,B,Correct,1
29,ST2776,Q29,D,D,Correct,1
30,ST2776,Q30,D,C,Wrong,0
31,ST2776,Q31,C,C,Correct,1
32,ST2776,Q32,A,A,Correct,1
33,ST2776,Q33,B,B,Correct,1
34,ST2776,Q34,C,C,Correct,1
35,ST2776,Q35,A,A,Correct,1
36,ST2776,Q36,A,B,Wrong,0
37,ST2776,Q37,B,D,Wrong,0
38,ST2776,Q38,B,B,Correct,1
39,ST2776,Q39,A,A,Correct,1
40,ST2776,Q40,B,B,Correct,1
41,ST2776,Q41,B,C,Wrong,0
42,ST2776,Q42,C,C,Correct,1
43,ST2776,Q43,D,C,Wrong,0
44,ST2776,Q44,B,B,Correct,1
45,ST2776,Q45,B,B,Correct,1
46,ST2776,Q46,A,A,Correct,1
47,ST2776,Q47,A,C,Wrong,0
48,ST2776,Q48,D,B,Wrong,0
49,ST2776,Q49,D,D,Correct,1
50,ST2776,Q50,C,A,Wrong,0
51,ST2776,Q51,B,C,Wrong,0
52,ST2776,Q52,B,B,Correct,1
53,ST2776,Q53,C,C,Correct,1
54,ST2776,Q54,D,C,Wrong,0
55,ST2776,Q55,A,A,Correct,1
56,ST2776,Q56,B,B,Correct,1
57,ST2776,Q57,B,B,Correct,1
58,ST2776,Q58,A,A,Correct,1
59,ST2776,Q59,A,A,Correct,1
60,ST2776,Q60,A,B,Wrong,0
61,ST2776,Q61,A,B,Wrong,0
62,ST2776,Q62,A,C,Wrong,0
63,ST2776,Q63,B,A,Wrong,0
64,ST2776,Q64,B,B,Correct,1
65,ST2776,Q65,B,C,Wrong,0
66,ST2776,Q66,A,B,Wrong,0
67,ST2776,Q67,B,B,Correct,1
68,ST2776,Q68,A,C,Wrong,0
69,ST2776,Q69,B,C,Wrong,0
70,ST2776,Q70,A,B,Wrong,0
71,ST2776,Q71,A,B,Wrong,0
72,ST2776,Q72,A,B,Wrong,0
73,ST2776,Q73,C,D,Wrong,0
74,ST2776,Q74,B,B,Correct,1
75,ST2776,Q75,B,A,Wrong,0
76,ST2776,Q76,B,B,Correct,1
77,ST2776,Q77,A,B,Wrong,0
78,ST2776,Q78,B,B,Correct,1
79,ST2776,Q79,A,B,Wrong,0
80,ST2776,Q80,A,B,Wrong,0
81,ST2776,Q81,C,A,Wrong,0
82,ST2776,Q82,D,B,Wrong,0
83,ST2776,Q83,B,C,Wrong,0
84,ST2776,Q84,B,B,Correct,1
85,ST2776,Q85,B,C,Wrong,0
86,ST2776,Q86,A,B,Wrong,0
87,ST2776,Q87,B,B,Correct,1
88,ST2776,Q88,C,B,Wrong,0
89,ST2776,Q89,A,B,Wrong,0
90,ST2776,Q90,B,C,Wrong,0
91,ST2776,Q91,C,B,Wrong,0
92,ST2776,Q92,D,B,Wrong,0
93,ST2776,Q93,A,B,Wrong,0
94,ST2776,Q94,B,C,Wrong,0
95,ST2776,Q95,C,B,Wrong,0
96,ST2776,Q96,D,B,Wrong,0
97,ST2776,Q97,A,B,Wrong,0
98,ST2776,Q98,B,C,Wrong,0
99,ST2776,Q99,C,B,Wrong,0
100,ST2776,Q100,D,B,Wrong,0
SUMMARY,ST2776,TOTAL,45/100,100,45.0%,45
